date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
250806,N2,imb2,set3,02,ch2,24,2.4651,8389.791,250806_N2_imb2_set3_02_ch2,-36
250806,N2,imb2,set3,02,ch2,25,2.5723,8432.0967,250806_N2_imb2_set3_02_ch2,-35
250806,N2,imb2,set3,02,ch2,26,2.6795,8452.0205,250806_N2_imb2_set3_02_ch2,-34
250806,N2,imb2,set3,02,ch2,27,2.7867,8499.7129,250806_N2_imb2_set3_02_ch2,-33
250806,N2,imb2,set3,02,ch2,28,2.8939,8552.1895,250806_N2_imb2_set3_02_ch2,-32
250806,N2,imb2,set3,02,ch2,29,3.001,8602.1455,250806_N2_imb2_set3_02_ch2,-31
250806,N2,imb2,set3,02,ch2,30,3.1082,8640.958,250806_N2_imb2_set3_02_ch2,-30
250806,N2,imb2,set3,02,ch2,31,3.2154,8688.0557,250806_N2_imb2_set3_02_ch2,-29
250806,N2,imb2,set3,02,ch2,32,3.3226,8749.1338,250806_N2_imb2_set3_02_ch2,-28
250806,N2,imb2,set3,02,ch2,33,3.4298,8792.0361,250806_N2_imb2_set3_02_ch2,-27
250806,N2,imb2,set3,02,ch2,34,3.5369,8832.6553,250806_N2_imb2_set3_02_ch2,-26
250806,N2,imb2,set3,02,ch2,35,3.6441,8895.5664,250806_N2_imb2_set3_02_ch2,-25
250806,N2,imb2,set3,02,ch2,36,3.7513,8960.3125,250806_N2_imb2_set3_02_ch2,-24
250806,N2,imb2,set3,02,ch2,37,3.8585,9011.958,250806_N2_imb2_set3_02_ch2,-23
250806,N2,imb2,set3,02,ch2,38,3.9657,9064.6416,250806_N2_imb2_set3_02_ch2,-22
250806,N2,imb2,set3,02,ch2,39,4.0728,9110.2695,250806_N2_imb2_set3_02_ch2,-21
250806,N2,imb2,set3,02,ch2,40,4.18,9163.9678,250806_N2_imb2_set3_02_ch2,-20
250806,N2,imb2,set3,02,ch2,41,4.2872,9217.7803,250806_N2_imb2_set3_02_ch2,-19
250806,N2,imb2,set3,02,ch2,42,4.3944,9275.0059,250806_N2_imb2_set3_02_ch2,-18
250806,N2,imb2,set3,02,ch2,43,4.5016,9345.5195,250806_N2_imb2_set3_02_ch2,-17
250806,N2,imb2,set3,02,ch2,44,4.6087,9413.9365,250806_N2_imb2_set3_02_ch2,-16
250806,N2,imb2,set3,02,ch2,45,4.7159,9480.7754,250806_N2_imb2_set3_02_ch2,-15
250806,N2,imb2,set3,02,ch2,46,4.8231,9544.0537,250806_N2_imb2_set3_02_ch2,-14
250806,N2,imb2,set3,02,ch2,47,4.9303,9620.4482,250806_N2_imb2_set3_02_ch2,-13
250806,N2,imb2,set3,02,ch2,48,5.0375,9698.4805,250806_N2_imb2_set3_02_ch2,-12
250806,N2,imb2,set3,02,ch2,49,5.1446,9798.6162,250806_N2_imb2_set3_02_ch2,-11
250806,N2,imb2,set3,02,ch2,50,5.2518,9892.4004,250806_N2_imb2_set3_02_ch2,-10
250806,N2,imb2,set3,02,ch2,51,5.359,10010.6592,250806_N2_imb2_set3_02_ch2,-9
250806,N2,imb2,set3,02,ch2,52,5.4662,10108.54,250806_N2_imb2_set3_02_ch2,-8
250806,N2,imb2,set3,02,ch2,53,5.5734,10195.2891,250806_N2_imb2_set3_02_ch2,-7
250806,N2,imb2,set3,02,ch2,54,5.6805,10304.958,250806_N2_imb2_set3_02_ch2,-6
250806,N2,imb2,set3,02,ch2,55,5.7877,10396.1748,250806_N2_imb2_set3_02_ch2,-5
250806,N2,imb2,set3,02,ch2,56,5.8949,10501.1924,250806_N2_imb2_set3_02_ch2,-4
250806,N2,imb2,set3,02,ch2,57,6.0021,10569.1729,250806_N2_imb2_set3_02_ch2,-3
250806,N2,imb2,set3,02,ch2,58,6.1093,10634.9854,250806_N2_imb2_set3_02_ch2,-2
