"date","embryoID","channel","aligned_row","normalized_intensity"
"231206","image01","ch1",-18,0.871269882308883
"231206","image01","ch1",-17,0.873171239834789
"231206","image01","ch1",-16,0.877468379383099
"231206","image01","ch1",-15,0.880346843026053
"231206","image01","ch1",-14,0.883799554482601
"231206","image01","ch1",-13,0.88678699860358
"231206","image01","ch1",-12,0.891535403461024
"231206","image01","ch1",-11,0.90175848299081
"231206","image01","ch1",-10,0.912887223003596
"231206","image01","ch1",-9,0.922471621865365
"231206","image01","ch1",-8,0.928282839361337
"231206","image01","ch1",-7,0.938256941681557
"231206","image01","ch1",-6,0.961045675063078
"231206","image01","ch1",-5,0.988301007812011
"231206","image01","ch1",-4,1.01177981753505
"231206","image01","ch1",-3,1.02528005370254
"231206","image01","ch1",-2,1.03382505507924
"231206","image01","ch1",-1,1.04584380625136
"231206","image01","ch1",0,1.06523275348298
"231206","image01","ch1",1,1.08661636586205
"231206","image01","ch1",2,1.1072373266903
"231206","image01","ch1",3,1.1273187035452
"231206","image01","ch1",4,1.14826947681126
"231206","image01","ch1",5,1.17321482819054
"231206","image01","ch1",6,1.1853492902265
"231206","image01","ch1",7,1.17823588427199
"231206","image01","ch1",8,1.15898093290344
"231206","image01","ch1",9,1.14207498031603
"231206","image01","ch1",10,1.14532453295876
"231206","image01","ch1",11,1.16740871731597
"231206","image01","ch1",12,1.19186310352293
"231206","image01","ch1",13,1.20524209861445
"231206","image01","ch1",14,1.20480488239739
"231206","image01","ch1",15,1.2015614247544
"231206","image01","ch1",16,1.20215181608083
"231206","image01","ch1",17,1.20252549369054
"231206","image01","ch1",18,1.20006073697992
"231206","image01","ch1",19,1.19197686116291
"231206","image01","ch1",20,1.18895618870357
"231206","image01","ch1",21,1.20070445367089
"231206","image01","ch1",22,1.21348559753284
"231206","image01","ch1",23,1.21667528268775
"231206","image01","ch1",24,1.21274203109705
"231206","image01","ch1",25,1.2052617485171
"231206","image01","ch1",26,1.2025842080703
"231206","image01","ch1",27,1.21312869882203
"231206","image01","ch1",28,1.23817161726283
"231206","image01","ch1",29,1.26534432628938
"231206","image01","ch1",30,1.28154243525803
